rented,hour,temperature,humidity,windspeed,weekday
16,0,.4f,.4f,.4f,6
3,5,.4f,.4f,.4f,1
115,9,.4f,.4f,.4f,3
73,13,.4f,.4f,.4f,5
82,15,.4f,.4f,.4f,0
51,19,.4f,.4f,.4f,2
15,23,.4f,.4f,.4f,4
16,2,.4f,.4f,.4f,0
61,16,.4f,.4f,.4f,2
152,19,.4f,.4f,.4f,4
30,22,.4f,.4f,.4f,6
2,2,.4f,.4f,.4f,2
16,6,.4f,.4f,.4f,5
64,10,.4f,.4f,.4f,0
52,13,.4f,.4f,.4f,2
78,16,.4f,.4f,.4f,4
84,19,.4f,.4f,.4f,6
78,21,.4f,.4f,.4f,1
16,0,.4f,.4f,.4f,4
1,5,.4f,.4f,.4f,6
256,8,.4f,.4f,.4f,1
86,12,.4f,.4f,.4f,3
191,14,.4f,.4f,.4f,5
146,17,.4f,.4f,.4f,0
4,1,.4f,.4f,.4f,3
11,6,.4f,.4f,.4f,5
59,9,.4f,.4f,.4f,0
78,13,.4f,.4f,.4f,2
68,15,.4f,.4f,.4f,4
164,17,.4f,.4f,.4f,6
54,21,.4f,.4f,.4f,1
18,23,.4f,.4f,.4f,3
1,4,.4f,.4f,.4f,6
241,8,.4f,.4f,.4f,1
88,12,.4f,.4f,.4f,3
173,15,.4f,.4f,.4f,5
226,17,.4f,.4f,.4f,0
135,20,.4f,.4f,.4f,2
33,23,.4f,.4f,.4f,4
20,1,.4f,.4f,.4f,0
8,5,.4f,.4f,.4f,2
92,7,.4f,.4f,.4f,4
87,9,.4f,.4f,.4f,6
124,11,.4f,.4f,.4f,1
112,13,.4f,.4f,.4f,3
25,15,.4f,.4f,.4f,5
236,17,.4f,.4f,.4f,0
103,20,.4f,.4f,.4f,2
104,22,.4f,.4f,.4f,4
33,0,.4f,.4f,.4f,0
13,2,.4f,.4f,.4f,2
6,4,.4f,.4f,.4f,4
11,6,.4f,.4f,.4f,6
353,8,.4f,.4f,.4f,1
92,10,.4f,.4f,.4f,3
223,12,.4f,.4f,.4f,5
238,14,.4f,.4f,.4f,0
271,16,.4f,.4f,.4f,2
520,18,.4f,.4f,.4f,4
219,20,.4f,.4f,.4f,6
116,22,.4f,.4f,.4f,1
44,0,.4f,.4f,.4f,4
52,2,.4f,.4f,.4f,6
6,4,.4f,.4f,.4f,1
101,6,.4f,.4f,.4f,3
517,8,.4f,.4f,.4f,5
305,10,.4f,.4f,.4f,0
