Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1,Brenden Aaronson,USA,MFFW,1,1.53,0.28,0.04,0.2,0.65359477124183
2,Yunis Abdelhamid,MAR,DF,0,0.86,0.05,0,0,
3,Himad Abdelli,FRA,MFFW,0,1.05,0.35,0,0,
4,Salis Abdul Samed,GHA,MF,1,0.6,0.15,0.08,0.33,
5,Laurent Abergel,FRA,MF,0,0.31,0,0,0,
6,Oliver Abildgaard,DEN,MF,0,0,0,0,0,
7,Matthis Abline,FRA,FWMF,1,4.29,1.43,0.11,0.33,
8,Matthis Abline,FRA,FWMF,1,5,1.67,0.17,0.5,
9,Abner,BRA,DF,0,0.67,0.33,0,0,
10,Zakaria Aboukhlal,MAR,FWMF,5,2.75,1.02,0.11,0.29,
11,Tammy Abraham,ENG,FW,6,2.67,1.25,0.13,0.27,
12,Francesco Acerbi,ITA,DF,0,0.49,0,0,0,
13,Mohamed Achi,FRA,FW,0,2.5,0,0,0,
14,Marcos Acuña,ARG,DF,2,1.47,0.37,0.13,0.5,
15,Che Adams,SCO,FW,4,2.06,0.74,0.11,0.31,
16,Tyler Adams,USA,MF,0,0.11,0,0,0,
17,Sargis Adamyan,ARM,FWMF,1,3.46,1.73,0.06,0.11,
18,Tosin Adarabioyo,ENG,DF,1,0.33,0.16,0.25,0.5,
19,Martin Adeline,FRA,MFFW,0,0.83,0,0,0,
20,Karim Adeyemi,GER,FWMF,2,2.24,0.94,0.11,0.25,
21,Amine Adli,FRA,FW,1,1.94,0.69,0.07,0.2,
22,Yacine Adli,FRA,MFFW,0,1.54,1.54,0,0,
23,Michel Aebischer,SUI,FWMF,1,1.16,0.23,0.1,0.5,
24,Felix Afena-Gyan,GHA,FWMF,0,2.5,0.25,0,0,
25,Emmanuel Agbadou,CIV,DF,0,0.79,0.11,0,0,
26,Lucien Agoume,FRA,MF,0,0.31,0,0,0,
27,Felix Agu,GER,DFFW,0,2,0,0,0,
28,Álvaro Aguado,ESP,MF,0,0.71,0.16,0,0,
29,Kevin Agudelo,COL,MFFW,0,1.13,0.31,0,0,
30,Nayef Aguerd,MAR,DF,0,0.88,0,0,0,
31,Ruben Aguilar,FRA,DF,0,0.29,0.29,0,0,
32,Naouirou Ahamada,FRA,MFFW,0,5,0,0,0,
33,Naouirou Ahamada,FRA,MF,2,1.03,0.32,0.13,0.4,
34,Amar Ahmed,SWE,FW,0,0,0,0,0,
35,Jean-Eudes Aholou,CIV,MF,1,0.97,0.32,0.11,0.33,
36,Joseph Aidoo,GHA,DF,2,0.45,0.1,0.22,1,
37,Ola Aina,NGA,DF,1,0.93,0.4,0.14,0.33,
38,Rayan Aït Nouri,FRA,DF,1,0.99,0.5,0.1,0.2,
39,Emanuel Aiwum,AUT,DF,0,0.26,0.09,0,0,
40,Kristoffer Ajer,NOR,DF,0,0.12,0,0,0,
41,Ludovic Ajorque,FRA,FW,1,2.56,0.81,0,0,
42,Ludovic Ajorque,FRA,FW,0,2.69,0.77,0,0,
43,Manuel Akanji,SUI,DF,0,0.77,0.14,0,0,
44,Nathan Aké,NED,DF,0,0.31,0,0,0,
45,Sergio Akieme,ESP,DF,0,1.05,0.29,0,0,
46,Maghnes Akliouche,FRA,MFDF,0,0.36,0.36,0,0,
47,Paul Akouokou,CIV,MF,0,0.77,0.38,0,0,
48,Jean-Daniel Akpa-Akpro,CIV,MF,0,1.04,0.3,0,0,
49,Kevin Akpoguma,NGA,DF,0,0.53,0.09,0,0,
50,David Alaba,AUT,DF,1,0.59,0.07,0.11,1,
51,Tomás Alarcón,CHI,MF,0,0.8,0.4,0,0,
52,Lucas Alario,ARG,FW,1,3.21,0.71,0.11,0.5,
53,Jordi Alba,ESP,DF,1,0.87,0.19,0.11,0.5,
54,Luis Alberto,ESP,MF,4,1.45,0.6,0.18,0.43,
55,Raúl Albiol,ESP,DF,0,0.06,0,0,0,
56,Marc Albrighton,ENG,FWMF,1,0.77,0.38,0.5,1,
57,Thiago Alcántara,ESP,MF,0,0.7,0.08,0,0,
58,Carlos Alcaraz,ARG,MF,1,2.67,0.67,0.25,1,
59,Rubén Alcaraz,ESP,MF,1,1.52,0.18,0.06,0.5,
60,Omar Alderete,PAR,DF,0,0.71,0.14,0,0,
61,Iván Alejo,ESP,MFFW,0,1.48,0.25,0,0,
62,Doðan Alemdar,TUR,GK,0,0,0,0,0,
63,Carles Aleñá,ESP,MF,2,1.3,0.49,0.1,0.25,
64,Trent Alexander-Arnold,ENG,DF,1,1.31,0.19,0.05,0.33,
65,Alejandro Alfaro,ESP,MF,0,0,0,0,0,
66,Ángel Algobia,ESP,MF,0,0.36,0,0,0,
67,Mohamed Ali Cho,FRA,FW,0,3.14,1.43,0,0,
68,Faride Alidou,GER,DFMF,0,1.43,0,0,0,
69,Alisson,BRA,GK,0,0,0,0,0,
70,Jim Allevinah,GAB,DFFW,1,1.4,0.29,0.05,0.25,
71,Dele Alli,ENG,MF,0,0,0,0,0,
72,Domingos André Ribeiro Almeida,POR,MF,2,0.79,0.36,0.18,0.4,
73,Miguel Almirón,PAR,FW,10,2.33,0.74,0.21,0.67,
74,Marcos Alonso,ESP,DF,1,0.43,0.14,0.33,1,
75,Mickaël Alphonse,GLP,DF,0,0.74,0.11,0,0,
76,Éder Álvarez Balanta,COL,MF,0,0,0,0,0,
77,Carlos Álvarez,ESP,FW,0,0,0,0,0,
78,Gastón Álvarez,URU,DF,2,0.32,0.32,1,1,
79,Julián Álvarez,ARG,FWMF,4,2.97,1.25,0.21,0.5,
80,Agustín Álvarez Martínez,URU,FWMF,1,3.33,0.91,0.09,0.33,
81,Yeray Álvarez,ESP,DF,1,0.34,0.06,0.17,1,
82,Ibrahim Amadou,FRA,DFMF,0,0.44,0,0,0,
83,Daniel Amartey,GHA,DF,0,0.2,0.13,0,0,
84,Amath,SEN,MFFW,1,1.82,0.73,0.1,0.25,
85,Jordan Amavi,FRA,DF,0,0,0,0,0,
86,Kelvin Amian,FRA,DF,0,0.77,0.09,0,0,
87,Bruno Amione,ARG,DF,0,0,0,0,0,
88,Bruno Amione,ARG,DF,0,0.57,0.11,0,0,
89,Nadiem Amiri,GER,MFFW,2,1.69,0.7,0.17,0.4,
90,Ethan Ampadu,WAL,DFMF,0,0.79,0.26,0,0,
91,Sofyan Amrabat,MAR,MF,0,0.54,0.16,0,0,
92,Joachim Andersen,DEN,DF,1,0.67,0.3,0.09,0.2,
93,Elliot Anderson,SCO,FWMF,0,3.08,0.77,0,0,
94,Felipe Anderson,BRA,FW,6,1.18,0.64,0.27,0.5,
95,Benjamin André,FRA,MF,1,0.77,0.1,0.07,0.5,
96,Komnen Andri?,SRB,FW,4,1.94,0.79,0.11,0.27,
97,Robert Andrich,GER,MF,2,1.02,0.25,0.13,0.5,
98,Angeliño,ESP,DF,0,0.62,0.17,0,0,
99,Fabrizio Angileri,ARG,DF,0,0.53,0,0,0,
100,Jaidon Anthony,ENG,MFFW,3,1.95,1.15,0.18,0.3,
101,Janis Antiste,FRA,FW,1,1.67,1.67,1,1,
102,Waldemar Anton,GER,DF,1,0.75,0.2,0.07,0.25,
103,Marcos Antônio,BRA,MF,0,0,0,0,0,
104,Michail Antonio,JAM,FW,2,2.05,0.68,0.08,0.25,
105,Antony,BRA,FW,3,3.27,1.39,0.09,0.21,
106,Valentin Antov,BUL,DF,0,0,0,0,0,
107,Christopher Antwi-Adjei,GHA,FWMF,2,1.48,0.45,0.15,0.5,
108,Anuar,MAR,MFFW,1,1.3,0.43,0.33,1,
109,Houssem Aouar,FRA,MF,1,1.33,0.67,0.17,0.33,
110,Adil Aouchiche,FRA,MFFW,0,3.33,1.11,0,0,
111,Dennis Appiah,FRA,DFMF,0,0.57,0.11,0,0,
112,Mauro Arambarri,URU,MF,0,0.92,0,0,0,
113,Charles Aránguiz,CHI,MF,1,0.91,0.36,0.2,0.5,
114,Ronald Araújo,URU,DF,0,0.63,0,0,0,
115,Cameron Archer,ENG,FWMF,0,0,0,0,0,
116,Taïryk Arconte,FRA,FWMF,0,2.5,2.5,0,0,
117,Alphonse Areola,FRA,GK,0,0,0,0,0,
118,Joe Aribo,NGA,MFFW,2,1.07,0.66,0.15,0.25,
119,Adam Armstrong,ENG,FW,1,1.67,0.79,0.05,0.11,
120,Stuart Armstrong,SCO,MFFW,1,1.53,0.35,0.08,0.33,
121,Marko Arnautovi?,AUT,FW,8,1.59,0.76,0.24,0.5,
122,Maximilian Arnold,GER,MF,4,1.04,0.36,0.1,0.29,
123,Kepa Arrizabalaga,ESP,GK,0,0,0,0,0,
124,Roberto Arroyo,ESP,MF,0,0,0,0,0,
125,Tolgay Arslan,GER,MF,1,2.09,0.55,0.05,0.2,
126,Arthur,BRA,FW,3,3.24,1.22,0.08,0.22,
127,Santiago Arzamendia,PAR,MFDF,0,0.91,0.3,0,0,
128,Takuma Asano,JPN,FWMF,1,2.68,0.85,0.05,0.17,
129,Santiago Ascacíbar,ARG,MF,0,1.73,0.37,0,0,
130,Sergio Asenjo,ESP,GK,0,0,0,0,0,
131,Marco Asensio,ESP,FWMF,2,3.75,1.07,0.1,0.33,
132,Kristoffer Askildsen,NOR,MF,0,1.36,0.45,0,0,
133,Fisnik Asllani,KVX,FWMF,0,2.86,0,0,0,
134,Kristjan Asllani,ALB,MF,0,1.82,0,0,0,
135,Iago Aspas,ESP,FW,9,2.27,1.03,0.19,0.42,
136,Lorenz Assignon,TOG,DF,0,1.36,0.45,0,0,
137,Youcef Atal,ALG,DFMF,1,1.27,0.7,0.11,0.2,
138,Pierre-Emerick Aubameyang,GAB,FW,1,2.08,1.04,0.1,0.2,
139,Pierre-Emerick Aubameyang,GAB,FW,0,10,0,0,0,
140,Emil Audero,ITA,GK,0,0,0,0,0,
