name,position,goals,shots
Mario Mandzukic,FW,9,32
Fabio Pisacane,DF,1,8
Luca Rossettini,DF,0,4
Emanuele Giaccherini,MF,3,32
Sergio Pellissier,FW,4,25
Oscar Hiljemark,MF,1,13
Sergio Floccari,FW,3,24
Lorenzo Ariaudo,DF,0,6
Daniele De Rossi,MF,1,5
Ignazio Abate,DF,0,1
Mateo Musacchio,DF,1,12
Senad Lulic,DF,4,27
Marco Parolo,MF,4,60
Darijo Srna,DF,0,10
Alessandro Matri,FW,2,15
Massimo Gobbi,DF,0,3
Manuel Pasqual,DF,1,8
Emiliano Moretti,DF,0,1
Simone Padoin,DF,0,3
Felipe,FW,3,14
Marcello Gazzola,DF,1,2
Domenico Maietta,DF,0,7
Kwadwo Asamoah,DF,0,9
Borja Valero,MF,0,12
Kevin Mirallas,FW,2,29
Iago Falque,FW,6,57
Valter Birsa,MF,2,27
Luca Siligardi,FW,1,37
Vincent Laurini,DF,0,2
Stefano Sorrentino,GK,0,0
Esteban Rolón,MF,0,8
Mirko Valdifiori,MF,0,7
Afriyie Acquah,MF,2,22
Federico Mattiello,MF,1,11
Riccardo Meggiorini,FW,3,34
Davide Biraschi,DF,0,11
Sebastien De Maio,DF,1,13
Luca Rigoni,MF,2,16
Francesco Zampano,DF,0,15
Raffaele Maiello,MF,0,10
Camillo Ciano,FW,7,77
Blaise Matuidi,MF,3,19
Lucas Biglia,MF,1,7
Gonzalo Higuaín,FW,6,55
Filip Bradaric,MF,0,14
Luca Cigarini,MF,0,19
Ervin Zukanovic,DF,0,19
Stefano Okaka,FW,6,18
Lukasz Teodorczyk,FW,1,13
Emiliano Viviano,GK,0,0
Gervinho,FW,11,44
Fabio Borini,FW,2,30
Wallace,DF,0,10
Bryan Dabo,MF,1,9
Arturo Calabresi,DF,1,1
Andrea Poli,MF,4,31
Paolo Faragò,MF,1,20
Francesco Cassata,MF,2,14
Marco Sau,MF,1,9
Artur Ionita,MF,3,36
Federico Barba,DF,0,9
Francesco Vicari,DF,2,8
Gastón Ramírez,MF,4,27
Danilo,MF,1,9
Pedro Pereira,DF,0,3
Pasquale Schiattarella,MF,0,14
Mattia Valoti,MF,2,20
Luigi Sepe,GK,0,0
Simone Iacoponi,DF,0,9
Antonino Barillà,MF,3,19
Matteo Scozzarella,MF,0,8
Mattia Sprocati,FW,1,10
Rodrigo Palacio,FW,3,43
Mehdi Leris,MF,0,30
Nicola Rigoni,MF,0,22
Antonio Candreva,FW,1,21
Simone Missiroli,MF,0,15
Roberto Inglese,FW,9,47
Marko Pjaca,FW,1,19
Marco Capuano,DF,0,7
Luca Valzania,MF,2,21
Daniel Ciofani,FW,5,53
Lorenzo Tonelli,DF,1,7
Vittorio Parigini,MF,0,8
Alberto Cerri,FW,0,24
Perparim Hetemaj,MF,2,12
Matías Silvestre,DF,2,11
Antonio La Gumina,FW,2,26
Daniel Bessa,MF,1,31
Nicolò Barella,MF,1,54
Alessandro Murgia,MF,0,13
Alberto Paloschi,FW,2,10
Fabio Ceravolo,FW,2,20
Andrea Beghetto,DF,0,23
Mirco Antenucci,FW,5,50
Andrea Pinamonti,FW,5,60
Radja Nainggolan,MF,6,71
Cengiz Ünder,FW,3,39
Justin Kluivert,FW,1,21
Germán Pezzella,DF,2,25
Alban Lafont,GK,0,0
Jakub Jankto,MF,0,23
Alex Berenguer,MF,2,22
Pol Lirola,DF,2,17
Seko Fofana,MF,2,59
João Mário,MF,1,16
Arkadiusz Milik,FW,17,111
Douglas Costa,FW,1,20
Miha Zajc,FW,3,55
Gerson,MF,3,39
Ragnar Klavan,DF,0,2
Jasmin Kurtic,MF,6,64
Jonathan Biabiany,FW,0,4
Mauro Icardi,FW,11,74
Raúl Albiol,DF,1,4
Miralem Pjanic,MF,2,29
Gianluigi Donnarumma,GK,0,0
Suso,FW,7,95
Rodrigo de Paul,MF,9,88
Kostas Manolas,DF,1,14
Bastos,DF,1,11
Filip Helander,DF,0,10
Ladislav Krejci,MF,0,9
Marlon Santos,DF,1,6
Bartosz Salamon,DF,0,11
Robin Olsen,GK,0,0
Patrik Schick,FW,3,34
Emre Can,MF,4,32
William Troost-Ekong,DF,0,8
Blerim Dzemaili,MF,1,44
Samir,DF,2,9
Juraj Kucka,MF,4,26
Diego Laxalt,DF,0,6
Joel Campbell,FW,0,14
Edimilson Fernandes,MF,2,21
Christian Kouamé,FW,4,87
Allan,MF,1,25
João Cancelo,DF,1,25
Cristiano Ronaldo,FW,21,175
Joachim Andersen,DF,0,13
Lyanco,DF,1,8
Soualiho Meité,MF,2,30
Sandro,MF,0,13
Stefan de Vrij,DF,2,18
Milan Skriniar,DF,0,15
Marcelo Brozovic,MF,2,25
Roberto Gagliardini,MF,5,25
Ivan Perisic,FW,8,99
Matías Vecino,MF,3,44
Lautaro Martínez,FW,6,65
Aleksandar Kolarov,DF,8,42
Edin Dzeko,FW,9,131
Hakan Calhanoglu,FW,3,102
Stefano Sensi,MF,2,36
Ionut Radu,GK,0,0
Alessandro Bastoni,DF,1,3
David Ospina,GK,0,0
Kalidou Koulibaly,DF,2,19
Kevin Malcuit,DF,0,12
Mário Rui,DF,1,21
Alessandro Florenzi,DF,3,35
Juan Jesus,DF,1,1
Davide Calabria,DF,1,10
Alessio Romagnoli,DF,2,11
Tiemoué Bakayoko,MF,1,25
Samu Castillejo,FW,4,30
Franck Kessié,MF,7,52
Ismael Bennacer,MF,0,19
Pierluigi Gollini,GK,0,0
Cristian Romero,DF,2,20
Giovanni Di Lorenzo,DF,5,21
Rade Krunic,MF,5,54
Matteo Politano,FW,5,79
Faouzi Ghoulam,DF,1,9
Adam Ounas,FW,3,21
Fabián,MF,5,51
Piotr Zielinski,MF,6,80
Lorenzo Insigne,FW,10,120
Dries Mertens,FW,16,89
Juan Musso,GK,0,0
Remo Freuler,MF,2,30
Berat Gjimshiti,DF,1,10
Robin Gosens,DF,3,25
Hans Hateboer,DF,5,29
José Luis Palomino,DF,1,8
Rafael Toloi,DF,1,26
Marten de Roon,MF,2,28
Andrea Petagna,FW,16,90
Marco Sportiello,GK,0,0
Wojciech Szczesny,GK,0,0
Leonardo Bonucci,DF,3,15
Giorgio Chiellini,DF,1,13
Mattia De Sciglio,DF,0,7
Daniele Rugani,DF,2,9
Rodrigo Bentancur,MF,2,20
Juan Cuadrado,MF,1,17
Luis Muriel,FW,6,46
Duván Zapata,FW,23,118
Mario Pasalic,MF,5,36
Josip Ilicic,FW,12,101
Manuel Locatelli,MF,2,30
Luca Pellegrini,DF,0,2
José Callejón,MF,3,61
Federico Bernardeschi,FW,2,54
Krzysztof Piatek,FW,22,119
Erick Pulgar,MF,6,34
Nikola Milenkovic,DF,3,29
Cristiano Biraghi,DF,1,33
Marco Benassi,MF,7,59
Federico Chiesa,FW,7,133
Riccardo Saponara,MF,2,24
Alfred Duncan,MF,4,25
Bartlomiej Dragowski,GK,0,0
Elseid Hysaj,DF,0,13
Federico Fazio,DF,5,30
Davide Santon,DF,0,3
Bryan Cristante,MF,4,43
Lorenzo Pellegrini,MF,3,43
Nicolo Zaniolo,MF,4,48
Stephan El Shaarawy,FW,11,70
Thomas Strakosha,GK,0,0
Francesco Acerbi,DF,3,18
Patric,DF,0,15
Adam Marusic,DF,1,16
Stefan Radu,DF,0,9
Jordan Veretout,MF,5,38
Gianluca Mancini,DF,5,40
Ricardo Rodríguez,DF,0,27
Sergej Milinkovic-Savic,MF,5,76
Luis Alberto,MF,4,68
Ciro Immobile,FW,15,124
Timothy Castagne,DF,4,19
Etrit Berisha,GK,0,0
Cristian Ansaldi,DF,3,39
Koffi Djidji,DF,0,2
Armando Izzo,DF,4,25
Daniele Baselli,MF,4,42
Manuel Lazzari,MF,0,34
Simone Verdi,MF,3,20
Antonio Sanabria,FW,3,32
Darko Lazovic,MF,3,38
Dennis Praet,MF,2,34
Karol Linetty,MF,3,34
Federico Ceccherini,DF,0,1
Gianluca Caprari,FW,6,30
Andrea Belotti,FW,15,125
Simone Zaza,FW,4,56
Fabio Depaoli,DF,0,12
Miguel Veloso,MF,0,30
Rolando Mandragora,MF,3,46
Kevin Lasagna,FW,6,64
Mohamed Fares,DF,3,57
Patrick Cutrone,FW,3,34
Giovanni Simeone,FW,6,66
Andrea Consigli,DF,0,0
Gianmarco Ferrari,DF,4,23
Rogerio,DF,1,14
Federico Peluso,DF,1,2
Jeremie Boga,FW,3,27
Francesco Magnanelli,MF,0,9
Federico Di Francesco,FW,2,25
Filippo Romagna,DF,0,4
Mariusz Stepinski,FW,6,61
Leo Stulac,MF,0,22
Lukasz Skorupski,GK,0,0
Gregoire Defrel,FW,11,47
Mitchell Dijks,DF,1,9
Ibrahima Mbaye,DF,2,13
Roberto Soriano,MF,2,35
Mattias Svanberg,MF,0,22
Riccardo Orsolini,FW,8,65
Federico Santander,FW,8,76
Lorenzo De Silvestri,DF,2,29
Domenico Berardi,FW,8,126
Kevin Bonifazi,DF,2,11
Hamed Junior Traore,MF,2,44
Mehdi Bourabia,MF,1,34
Jens Stryger Larsen,DF,1,16
Bartosz Bereszynski,DF,0,9
Musa Barrow,FW,1,30
Emil Audero,GK,0,0
Omar Colley,DF,0,7
Jacopo Sala,DF,0,8
Diego Falcinelli,FW,0,15
Bram Nuytinck,DF,1,5
Ignacio Pussetto,FW,4,57
Ivan Provedel,GK,0,0
Tomás Rincón,MF,3,34
Albin Ekdal,MF,0,15
Nicola Murru,DF,0,16
Manolo Gabbiadini,FW,4,30
Fabio Quagliarella,FW,26,140
Giangiacomo Magnani,DF,0,2
Alessio Cragno,GK,0,0
Sofian Kiyine,MF,0,20
Francesco Caputo,FW,16,96
Edoardo Goldaniga,DF,1,13
Andrea Masiello,DF,0,8
Salvatore Sirigu,GK,0,0
Luca Ceppitelli,DF,1,15
Alessandro Deiola,MF,0,14
João Pedro,FW,7,61
Leonardo Pavoletti,FW,16,85
Mattia Bani,DF,0,13
Domenico Criscito,DF,2,31
Nikola Maksimovic,DF,0,2
Milan Badelj,MF,1,14
Felipe Caicedo,FW,8,42
Mattia Destro,FW,4,12
Pawel Jaroszynski,DF,0,6
Ivan Radovanovic,MF,0,52
Goran Pandev,FW,4,27
Valon Behrami,MF,1,9
Riccardo Gagliolo,DF,0,21
Frederic Veseli,DF,0,5
Lukasz Piszczek,DF,1,8
Sven Bender,DF,2,18
Lars Bender,DF,2,14
Stephan Lichtsteiner,DF,0,2
Neven Subotic,DF,1,13
Felix Kroos,MF,0,5
Vedad Ibisevic,FW,7,28
David Abraham,DF,2,7
Daniel Baier,MF,1,16
Claudio Pizarro,FW,0,4
Guido Burgstaller,FW,0,35
Jhon Córdoba,FW,13,60
Theodor Gebre Selassie,DF,2,12
Niklas Moisander,DF,0,14
Nuri Sahin,MF,0,12
Oscar Wendt,DF,2,9
Mitchell Weiser,DF,1,7
Sebastian Schonlau,DF,2,12
Jiri Pavlenka,GK,0,0
Marco Friedl,DF,1,11
Lucas Hernández,DF,0,3
Salif Sané,DF,2,9
Kingsley Coman,FW,4,37
Serge Gnabry,FW,12,95
Robert Lewandowski,FW,34,138
Marcel Sabitzer,MF,9,70
Benjamin Pavard,DF,5,24
Dominick Drexler,MF,3,19
Simon Terodde,FW,3,35
Leopold Zingerle,GK,0,0
Marius Bülter,MF,7,41
Danny Latza,MF,0,16
Oliver Baumann,GK,0,0
Benjamin Hübner,DF,1,27
Pavel Kaderábek,DF,2,27
Dennis Srbeny,FW,5,28
Uwe Hünemeier,DF,1,12
Sven Michel,FW,5,42
Kai Pröger,MF,2,51
Bastian Oczipka,DF,0,9
Sebastian Rudy,MF,1,25
Stefan Posch,DF,0,25
Christoph Baumgartner,MF,7,56
Dennis Geiger,MF,0,12
Florian Grillitsch,MF,0,17
Andrej Kramaric,FW,12,44
Robert Skov,DF,4,62
Mijat Gacinovic,MF,0,25
Christopher Trimmel,DF,0,5
Kevin Akpoguma,DF,0,2
Ihlas Bebou,FW,6,35
Niko Gießelmann,DF,1,14
Maximilian Eggestein,MF,1,45
Grischa Prömel,MF,0,11
Rani Khedira,MF,0,9
Robin Knoche,DF,1,4
Levin Öztunali,MF,4,35
Anthony Ujah,FW,3,19
Manuel Gulde,DF,1,14
Dominique Heintz,DF,0,4
Philipp Lienhart,DF,0,7
Janik Haberer,MF,2,13
Timo Horn,GK,0,1
Benno Schmitz,DF,0,2
Joshua Mees,MF,0,9
Adam Bodzek,MF,0,9
Andre Hoffmann,DF,2,14
Mike Frantz,MF,0,4
Vincenzo Grifo,MF,4,49
Nicolas Höfler,MF,1,26
Roland Sallai,MF,2,34
Lucas Höler,FW,8,52
Luca Kilian,DF,0,1
Florian Kastenmeier,GK,0,0
Mark Uth,MF,5,51
Sebastian Andersson,FW,12,64
Jonas Hector,MF,4,30
Florian Kainz,FW,5,41
Anthony Modeste,FW,4,35
Felix Klaus,FW,0,19
Marcel Sobottka,MF,0,7
Matthias Zimmermann,DF,1,16
Rouwen Hennings,FW,15,73
Robin Zentner,GK,0,0
Aarón Martín,DF,0,9
Kingsley Ehizibue,DF,1,12
Ahmed Kutucu,FW,3,16
Dominik Kohr,MF,0,29
Marcus Ingvartsen,MF,5,45
Kevin Stöger,MF,0,21
Eduard Löwen,MF,2,15
Daniel Brosinski,DF,2,23
Moussa Niakhate,DF,1,12
Jean-Paul Boëtius,MF,4,36
Karim Onisiwo,FW,4,41
Streli Mamba,FW,5,23
Stefan Lainer,DF,1,15
Nico Elvedi,DF,1,9
Marcus Thuram,FW,10,57
Christopher Antwi-Adjei,MF,1,46
Ben Zolinski,FW,3,19
Marvin Friedrich,DF,2,28
László Bénes,MF,0,23
Tony Jantschke,DF,0,4
Christoph Kramer,MF,0,10
Lars Stindl,MF,9,34
Patrick Herrmann,FW,6,40
Gerrit Holtmann,MF,1,24
Suat Serdar,MF,7,36
Breel Embolo,FW,8,46
Niklas Stark,DF,1,10
Koen Casteels,GK,0,0
Marco Richter,MF,4,64
Lukas Klünter,DF,0,2
Maximilian Mittelstädt,DF,1,22
Marvin Plattenhardt,DF,0,4
Jordan Torunarigha,DF,1,2
Vladimir Darida,MF,3,43
Alassane Pléa,FW,10,77
Alexander Schwolow,GK,0,0
Xaver Schlager,MF,1,32
Sebastiaan Bornauw,DF,6,18
Tomas Koubek,GK,0,0
Rafal Gikiewicz,GK,0,2
Jeffrey Gouweleeuw,DF,0,0
John Brooks,DF,0,13
William,DF,1,18
Yannick Gerhardt,MF,2,11
Jérôme Roussillon,DF,1,19
Felix Uduokhai,DF,0,4
Josuha Guilavogui,MF,0,24
Daniel Ginczek,FW,3,24
Dodi Lukebakio,FW,7,40
Gian-Luca Waldschmidt,FW,7,43
Daniel Caligiuri,MF,2,44
Alessandro Schöpf,MF,0,15
Sergio Córdova,FW,2,5
Alfred Finnbogason,FW,3,18
Sebastian Vasiliadis,MF,1,37
Raphael Framberger,DF,0,1
André Hahn,FW,1,16
Florian Niederlechner,FW,13,78
Erik Thommy,DF,6,61
Edimilson Fernandes,MF,1,23
Marco Höger,MF,0,1
Jonathan Schmid,DF,5,43
Jean Zimmer,DF,0,9
Keven Schlotterbeck,DF,0,12
Nils Petersen,FW,11,55
Bas Dost,FW,8,32
Christian Strohdiek,DF,1,8
Markus Suttner,DF,0,15
Rabbi Matondo,FW,2,23
Philipp Bargfrede,MF,0,5
Benito Raman,FW,4,34
Jean-Philippe Mateta,FW,3,35
Timothy Chandler,DF,5,20
Martin Hinteregger,DF,8,45
Almamy Touré,DF,1,15
Makoto Hasebe,DF,0,0
Daichi Kamada,MF,2,46
Abdelhamid Sabiri,MF,4,43
Christopher Lenz,DF,0,14
Nadiem Amiri,MF,1,42
Kerem Demirbay,MF,1,30
Aleksandar Dragovic,DF,0,2
Tin Jedvaj,DF,2,14
Charles Aránguiz,MF,1,16
Julian Baumgartlinger,MF,2,17
Lucas Alario,FW,7,49
Sebastian Rode,MF,3,13
Robert Andrich,MF,1,49
Roman Bürki,GK,0,0
Raphael Guerreiro,DF,8,40
Dan-Axel Zagadou,DF,1,4
Moussa Diaby,FW,5,41
Mats Hummels,DF,1,22
Patrik Schick,FW,10,53
Karim Bellarabi,FW,4,55
Thorgan Hazard,FW,7,50
Marius Wolf,FW,1,14
Christopher Nkunku,MF,5,52
Wendell,DF,0,10
Erling Haaland,FW,13,33
Péter Gulácsi,GK,0,0
Marcel Halstenberg,DF,3,31
Lukas Klostermann,DF,3,12
Nordi Mukiele,DF,3,22
Konrad Laimer,MF,2,10
Alexander Nübel,GK,0,0
Amine Harit,MF,6,29
