rented,hour,temperature,humidity,windspeed,weekday
16,0,3.28,0.81,0,6
3,5,-0.48,0.47,0.2836,1
115,9,2.34,0.37,0.3284,3
73,13,1.4,0.37,0.2836,5
82,15,2.34,0.35,0.3582,0
51,19,-0.48,0.93,0,2
15,23,-2.36,0.5,0.194,4
16,2,4.22,0.56,0.0896,0
61,16,2.34,0.87,0.194,2
152,19,4.22,0.56,0.3284,4
30,22,-5.18,0.49,0,6
2,2,-0.48,0.69,0.2239,2
16,6,0.46,0.8,0.1343,5
64,10,0.46,0.8,0,0
52,13,1.4,0.86,0,2
78,16,2.34,0.37,0.2537,4
84,19,5.16,0.93,0.4478,6
78,21,7.04,0.7,0,1
16,0,-1.42,0.86,0.194,4
1,5,-2.36,0.74,0.0896,6
256,8,9.86,0.4,0.4627,1
86,12,9.86,0.32,0.3284,3
191,14,23.02,0.36,0.2985,5
146,17,7.98,0.33,0.1642,0
4,1,-1.42,0.46,0.1642,3
11,6,7.98,0.93,0.0896,5
59,9,5.16,0.87,0.0896,0
78,13,7.04,0.39,0,2
68,15,3.28,0.23,0,4
164,17,14.56,0.59,0.3582,6
54,21,5.16,0.38,0.2239,1
18,23,7.98,0.93,0.194,3
1,4,3.28,0.65,0.2537,6
241,8,6.1,0.56,0.1343,1
88,12,10.8,0.71,0.1045,3
173,15,23.96,0.39,0.3582,5
226,17,10.8,0.35,0.2836,0
135,20,12.68,0.54,0.3582,2
33,23,3.28,0.65,0.194,4
20,1,3.28,0.52,0.194,0
8,5,2.34,0.37,0.2537,2
92,7,3.28,0.93,0.2537,4
87,9,7.98,0.66,0.1045,6
124,11,20.2,0.4,0.3881,1
112,13,13.62,0.38,0.4925,3
25,15,7.98,0.87,0.2239,5
236,17,16.44,0.72,0.194,0
103,20,11.74,0.82,0.2836,2
104,22,14.56,0.55,0.1045,4
33,0,12.68,0.77,0.2836,0
13,2,13.62,0.67,0.2836,2
6,4,12.68,0.54,0.4478,4
11,6,7.98,1,0.1642,6
353,8,18.32,0.88,0.1045,1
