nofish,livebait,camper,persons,child,count
1,0,0,1,0,0
0,1,1,1,0,0
0,1,0,1,0,0
0,1,1,2,1,0
0,1,0,1,0,1
0,1,1,4,2,0
0,1,0,3,1,0
0,1,0,4,3,0
1,0,1,3,2,0
0,1,1,1,0,1
0,1,0,4,1,0
0,1,1,3,2,0
1,0,0,3,0,1
0,1,0,3,0,2
0,1,1,1,0,0
1,1,1,1,0,1
0,1,0,4,1,0
1,1,1,3,2,0
0,1,1,2,1,1
0,1,0,3,1,0
0,1,0,4,1,1
0,1,1,4,0,5
0,1,1,2,1,0
0,1,1,2,0,3
0,1,1,3,0,30
0,1,1,2,0,0
0,1,1,4,0,13
0,1,0,2,1,0
0,1,0,1,0,0
0,1,0,4,3,0
0,1,0,1,0,0
0,1,1,3,1,0
0,1,1,4,0,11
0,1,1,4,1,5
0,1,1,1,0,0
1,0,0,2,0,1
1,1,1,2,1,1
1,1,1,4,1,7
1,1,1,3,1,0
0,1,1,4,1,14
0,1,1,1,0,0
0,1,1,4,0,32
1,0,0,3,2,0
1,0,1,4,0,1
1,1,0,4,2,0
0,1,1,1,0,0
0,1,1,2,1,0
0,1,0,1,0,1
0,1,1,2,1,5
0,1,0,2,1,0
0,1,1,2,1,1
0,1,1,2,1,0
0,1,1,4,0,22
1,0,0,2,0,0
0,1,1,3,0,15
1,0,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
1,1,1,4,1,5
1,1,1,1,0,4
0,1,0,2,0,2
0,1,1,2,1,0
0,1,0,2,1,2
0,1,1,4,0,32
0,1,0,4,3,0
0,1,1,1,0,0
0,1,0,1,0,1
1,1,0,3,2,0
1,1,1,1,0,0
0,1,1,2,1,0
0,1,1,3,0,7
0,1,0,4,3,0
1,0,0,4,2,0
0,1,1,3,2,0
1,0,1,1,0,0
0,1,0,2,0,0
0,1,0,3,2,0
1,1,1,1,0,0
0,1,0,2,1,0
0,1,0,4,0,2
0,1,1,4,1,3
1,1,0,2,1,1
0,1,1,3,0,5
0,1,0,1,0,0
0,1,1,1,0,2
1,0,0,3,1,1
1,0,0,4,1,0
1,1,1,1,0,1
