name,position,goals,shots
Aaron Connolly,FW,5,59
Aaron Cresswell,DF,4,69
Aaron Hunt,MF,3,30
Aaron Lennon,MF,1,5
Aaron Leya Iseka,FW,10,76
Aaron Mooy,MF,7,72
Aaron Ramsdale,GK,0,0
Aaron Ramsey,MF,16,141
Aaron Wan-Bissaka,DF,2,23
Aarón Martín,DF,0,37
Abdelhamid Sabiri,MF,4,43
Abdou Diallo,DF,3,30
Abdoul Kader Bamba,FW,4,34
Abdoulaye Ba,DF,1,9
Abdoulaye Bamba,DF,0,12
Abdoulaye Doucouré,MF,18,176
Abdoulaye Touré,MF,9,157
Abdón Prats,FW,0,11
Achraf Hakimi,DF,14,96
Adam Bodzek,MF,0,11
Adam Lallana,MF,2,27
Adam Marusic,DF,8,93
Adam Masina,DF,1,31
Adam Ounas,FW,9,73
Adam Smith,DF,2,24
Adam Webster,DF,4,41
Adama Mbengue,DF,0,14
Adama Niane,FW,8,74
Adama Soumaoro,DF,1,8
Adama Traoré,FW,1,17
Adama Traoré,FW,7,105
Adel Taarabt,FW,2,33
Adem Ljajic,MF,6,62
Ademola Lookman,FW,4,81
Adil Aouchiche,MF,2,26
Adil Rami,DF,2,30
Admir Mehmedi,MF,8,65
Adnan Januzaj,FW,12,146
Adolfo Gaich,FW,2,24
Adrian Grbic,FW,4,34
Adrian Mariappa,DF,0,20
Adrian Stoian,MF,2,19
Adrien Hunou,FW,24,100
Adrien Rabiot,MF,6,76
Adrien Tameze,MF,1,44
Adrien Thomasson,MF,22,209
Adrien Truffert,DF,1,24
Adrián,DF,6,63
Adrián Cubas,MF,1,11
Adrián Embarba,FW,7,88
Aduriz,FW,11,81
Afriyie Acquah,MF,3,31
Ahmed Benali,MF,0,10
Ahmed Elmohamady,DF,1,5
Ahmed Hegazy,DF,2,14
Ahmed Kutucu,FW,3,16
Aihen Muñoz,DF,0,4
Ainsley Maitland-Niles,DF,1,26
Aissa Mandi,DF,5,39
Aitor Fernández,GK,0,0
Aitor Ruibal,FW,2,49
Alassane Pléa,FW,44,329
Alban Lafont,GK,0,1
Albano Bizzarri,GK,0,0
Alberto Aquilani,MF,0,12
Alberto Cerri,FW,1,40
Alberto García,GK,0,0
Alberto Grassi,MF,4,57
Alberto Moreno,DF,0,21
Alberto Paloschi,FW,9,36
Alberto Perea,MF,2,28
Alberto Soro,FW,1,2
Albin Ekdal,MF,2,53
Aleandro Rosi,DF,0,12
Aleix Febas,MF,0,8
Aleix García,MF,3,30
Aleix Vidal,MF,3,31
Alejandro Pozo,DF,1,18
Aleksandar Dragovic,DF,3,10
Aleksandar Kolarov,DF,17,177
Aleksandar Mitrovic,FW,14,190
Aleksandr Golovin,MF,11,115
Aleksey Miranchuk,FW,4,15
Alen Halilovic,FW,2,38
Alessandro Bastoni,DF,3,22
Alessandro Deiola,MF,0,14
Alessandro Florenzi,DF,6,95
Alessandro Gamberini,DF,0,4
Alessandro Matri,FW,5,47
Alessandro Murgia,MF,0,48
Alessandro Schöpf,MF,1,52
Alessandro Tuia,DF,1,8
Alessio Cerci,FW,3,42
Alessio Cragno,GK,0,0
Alessio Romagnoli,DF,6,50
Alex Berenguer,MF,17,124
Alex Cordaz,GK,0,0
Alex Ferrari,DF,1,8
Alex Iwobi,FW,8,118
Alex McCarthy,GK,0,0
Alex Meret,GK,0,0
Alex Oxlade-Chamberlain,MF,7,87
Alex Pritchard,MF,2,47
Alexander Djiku,DF,2,61
Alexander Esswein,FW,2,38
Alexander Hack,FW,2,20
Alexander Isak,FW,25,125
Alexander Nübel,GK,0,0
Alexander Schwolow,GK,0,1
Alexander Sørloth,FW,5,48
Alexander Tettey,MF,1,23
Alexandre Lacazette,FW,50,245
Alexandre Mendy,FW,10,79
Alexandre Oukidja,GK,0,0
Alexandru Maxim,MF,3,43
Alexis Blin,MF,2,19
Alexis Claude Maurice,MF,5,73
Alexis Mac Allister,MF,1,24
Alexis Saelemaekers,FW,2,28
Alexis Sánchez,FW,12,68
Alfie Mawson,DF,2,21
Alfred Duncan,MF,4,73
Alfred Finnbogason,FW,25,123
Alfred Gomis,GK,0,0
Alfredo Donnarumma,FW,7,42
Alfredo Morales,MF,2,39
Alireza Jahanbakhsh,FW,0,39
Alisson,GK,1,1
Allan,MF,7,81
Allan Saint-Maximin,FW,15,190
Almamy Touré,DF,3,38
Alois Confais,MF,0,2
Alphonse Areola,GK,0,0
Alphonso Davies,DF,4,16
Amadou Diawara,MF,3,23
Amadou Haidara,MF,3,61
Amadou Traoré,MF,0,3
Ambroise Oyongo,DF,2,22
Amer Gojak,MF,1,8
Amin Younes,MF,3,33
Amine Gouiri,FW,12,80
Amine Harit,MF,12,88
Amir Rrahmani,DF,1,48
Amos Pieper,DF,1,15
Anaitz Arbilla,DF,4,77
Anastasios Donis,FW,7,83
Ander Barrenetxea,MF,4,38
Ander Capa,DF,5,43
Ander Guevara,MF,1,9
Ander Herrera,MF,3,54
Anderson-Lenda Lucoqui,DF,0,8
Andoni Gorosabel,DF,0,9
Andre Gray,FW,14,88
Andre Hoffmann,DF,2,14
Andrea Barberis,MF,2,25
Andrea Barzagli,DF,0,1
Andrea Beghetto,DF,0,23
Andrea Belotti,FW,53,419
Andrea Bertolacci,MF,1,16
Andrea Carboni,DF,0,5
Andrea Cistana,DF,1,6
Andrea Consigli,DF,0,0
Andrea Conti,DF,0,1
Andrea Costa,DF,0,9
Andrea Favilli,FW,0,14
Andrea Masiello,DF,4,42
Andrea Nalini,FW,0,21
Andrea Petagna,FW,36,267
Andrea Pinamonti,FW,10,112
Andrea Poli,MF,9,71
Andrea Raggi,DF,1,5
Andrea Rispoli,DF,0,17
Andreas Beck,DF,1,20
Andreas Cornelius,FW,19,130
Andreas Luthe,GK,0,0
Andreas Pereira,MF,3,65
Andreas Skov Olsen,FW,3,50
Andreas Voglsammer,FW,2,32
Andrei Girotto,MF,5,101
Andrej Galabinov,FW,3,33
Andrej Kramaric,FW,62,332
Andrew Gravillon,DF,1,14
Andrew Hjulsager,MF,0,2
Andrew Robertson,DF,4,69
Andrew Surman,MF,2,27
Andrija Balic,MF,0,16
Andriy Yarmolenko,FW,8,64
Andros Townsend,MF,10,173
André Carrillo,FW,1,23
André Gomes,MF,1,40
André Hahn,FW,16,138
André Schürrle,FW,7,91
Andrés Fernández,GK,0,0
Andrés Guardado,MF,3,82
Andrés Iniesta,MF,1,16
Andrés Tello,MF,1,7
Andy Carroll,FW,4,57
Andy Delort,FW,43,363
Andy Pelmard,DF,0,2
Angelino,DF,4,35
Angelo Fulgini,MF,15,163
Angelo Ogbonna,DF,7,49
Ante Budimir,FW,30,132
Ante Rebic,FW,37,193
Anthony Briancon,DF,3,44
Anthony Caci,DF,0,14
Anthony Goncalves,MF,5,35
Anthony Knockaert,MF,5,73
Anthony Limbombe,FW,1,42
Anthony Lopes,GK,0,0
Anthony Lozano,FW,3,58
Anthony Martial,FW,40,210
Anthony Modeste,FW,4,35
Anthony Racioppi,GK,0,0
Anthony Ujah,FW,7,46
Antoine Griezmann,FW,56,311
Antonee Robinson,DF,0,10
Antonin Barak,MF,16,121
Antonin Bobichon,MF,7,58
Antonino Barillà,MF,4,36
Antonino Ragusa,FW,0,21
Antonio Adán,GK,0,0
Antonio Barragán,DF,0,15
Antonio Barreca,DF,0,6
Antonio Candreva,FW,11,192
Antonio Caracciolo,DF,2,16
Antonio La Gumina,FW,2,26
Antonio Luna,DF,0,8
Antonio Mirante,GK,0,1
Antonio Rukavina,DF,0,2
Antonio Rüdiger,DF,6,69
Antonio Sanabria,FW,20,122
Antonio Sanabria,FW,2,17
Antonio Valencia,DF,3,16
Anwar El Ghazi,FW,18,178
Arbër Zeneli,MF,6,46
Ardian Ismajli,DF,1,6
Aridane Hernández,DF,3,14
Aritz Elustondo,DF,5,35
Arjen Robben,FW,5,51
Arkadiusz Milik,FW,42,248
Arkadiusz Reca,DF,2,49
Arlind Ajeti,DF,0,8
Armand Lauriente,FW,3,58
Armando Izzo,DF,8,54
Arnaud Kalimuendo Muinga,FW,7,34
Arnaud Lusamba,MF,1,6
Arnaud Nordin,MF,8,99
Arnaud Souquet,DF,3,27
