species,island,bill_length,bill_depth,flipper_length,body_mass,sex,year
Adelie,Torgersen,3.91,1.8699999999999999,18.1,3.75,male,2007
Adelie,Torgersen,3.95,1.7399999999999998,18.6,3.8,female,2007
Adelie,Torgersen,4.029999999999999,1.8,19.5,3.25,female,2007
Adelie,Torgersen,,,,,,2007
Adelie,Torgersen,3.6700000000000004,1.9300000000000002,19.3,3.45,female,2007
Adelie,Torgersen,3.9299999999999997,2.06,19.0,3.65,male,2007
Adelie,Torgersen,3.8899999999999997,1.78,18.1,3.625,female,2007
Adelie,Torgersen,3.9200000000000004,1.9600000000000002,19.5,4.675,male,2007
Adelie,Torgersen,3.41,1.81,19.3,3.475,,2007
Adelie,Torgersen,4.2,2.02,19.0,4.25,,2007
Adelie,Torgersen,3.78,1.7100000000000002,18.6,3.3,,2007
Adelie,Torgersen,3.78,1.73,18.0,3.7,,2007
Adelie,Torgersen,4.11,1.7600000000000002,18.2,3.2,female,2007
Adelie,Torgersen,3.8600000000000003,2.12,19.1,3.8,male,2007
Adelie,Torgersen,3.46,2.1100000000000003,19.8,4.4,male,2007
Adelie,Torgersen,3.66,1.78,18.5,3.7,female,2007
Adelie,Torgersen,3.87,1.9,19.5,3.45,female,2007
Adelie,Torgersen,4.25,2.07,19.7,4.5,male,2007
Adelie,Torgersen,3.44,1.8399999999999999,18.4,3.325,female,2007
Adelie,Torgersen,4.6,2.15,19.4,4.2,male,2007
Adelie,Biscoe,3.78,1.83,17.4,3.4,female,2007
Adelie,Biscoe,3.7700000000000005,1.8699999999999999,18.0,3.6,male,2007
Adelie,Biscoe,3.59,1.92,18.9,3.8,female,2007
Adelie,Biscoe,3.8200000000000003,1.81,18.5,3.95,male,2007
Adelie,Biscoe,3.88,1.72,18.0,3.8,male,2007
Adelie,Biscoe,3.53,1.89,18.7,3.8,female,2007
Adelie,Biscoe,4.0600000000000005,1.86,18.3,3.55,male,2007
Adelie,Biscoe,4.05,1.7899999999999998,18.7,3.2,female,2007
Adelie,Biscoe,3.79,1.86,17.2,3.15,female,2007
Adelie,Biscoe,4.05,1.89,18.0,3.95,male,2007
Adelie,Dream,3.95,1.67,17.8,3.25,female,2007
Adelie,Dream,3.72,1.81,17.8,3.9,male,2007
Adelie,Dream,3.95,1.78,18.8,3.3,female,2007
Adelie,Dream,4.09,1.89,18.4,3.9,male,2007
Adelie,Dream,3.6399999999999997,1.7,19.5,3.325,female,2007
Adelie,Dream,3.9200000000000004,2.1100000000000003,19.6,4.15,male,2007
Adelie,Dream,3.88,2.0,19.0,3.95,male,2007
Adelie,Dream,4.220000000000001,1.85,18.0,3.55,female,2007
Adelie,Dream,3.7600000000000002,1.9300000000000002,18.1,3.3,female,2007
Adelie,Dream,3.9799999999999995,1.9100000000000001,18.4,4.65,male,2007
Adelie,Dream,3.65,1.8,18.2,3.15,female,2007
Adelie,Dream,4.08,1.8399999999999999,19.5,3.9,male,2007
Adelie,Dream,3.6,1.85,18.6,3.1,female,2007
Adelie,Dream,4.41,1.97,19.6,4.4,male,2007
Adelie,Dream,3.7,1.69,18.5,3.0,female,2007
Adelie,Dream,3.96,1.8800000000000001,19.0,4.6,male,2007
Adelie,Dream,4.11,1.9,18.2,3.425,male,2007
Adelie,Dream,3.75,1.89,17.9,2.975,,2007
