Pig,Evit,Cu,Litter,Start,Weight,Feed,Time
4601,Evit000,Cu000,1,26.5,26.5,,1
4601,Evit000,Cu000,1,26.5,27.59999,5.200005,2
4601,Evit000,Cu000,1,26.5,36.5,17.6,3
4601,Evit000,Cu000,1,26.5,40.29999,28.5,4
4601,Evit000,Cu000,1,26.5,49.09998,45.200001,5
4601,Evit000,Cu000,1,26.5,55.39999,56.900002,6
4601,Evit000,Cu000,1,26.5,59.59998,71.700005,7
4601,Evit000,Cu000,1,26.5,67.0,86.800001,8
4601,Evit000,Cu000,1,26.5,76.59998,104.900002,9
4601,Evit000,Cu000,1,26.5,86.5,123.0,10
4601,Evit000,Cu000,1,26.5,91.59998,140.900002,11
4601,Evit000,Cu000,1,26.5,98.59998,160.0,12
4602,Evit000,Cu035,1,28.29999,28.29999,,1
4602,Evit000,Cu035,1,28.29999,30.09999,3.300003,2
4602,Evit000,Cu035,1,28.29999,38.29999,13.200001,3
4602,Evit000,Cu035,1,28.29999,44.5,26.1,4
4602,Evit000,Cu035,1,28.29999,51.59998,43.600002,5
4602,Evit000,Cu035,1,28.29999,57.59998,55.200001,6
4602,Evit000,Cu035,1,28.29999,65.0,72.800003,7
4602,Evit000,Cu035,1,28.29999,73.0,90.800003,8
4602,Evit000,Cu035,1,28.29999,82.29999,112.200001,9
4602,Evit000,Cu035,1,28.29999,91.0,132.900002,10
4602,Evit000,Cu035,1,28.29999,99.69995,156.1,11
4602,Evit000,Cu035,1,28.29999,106.69995,180.0,12
4603,Evit200,Cu175,1,27.59999,27.59999,,1
4603,Evit200,Cu175,1,27.59999,30.59999,6.700005,2
4603,Evit200,Cu175,1,27.59999,38.69998,17.6,3
4603,Evit200,Cu175,1,27.59999,47.19998,32.800003,4
4603,Evit200,Cu175,1,27.59999,54.09998,50.0,5
4603,Evit200,Cu175,1,27.59999,61.5,64.600002,6
4603,Evit200,Cu175,1,27.59999,68.5,80.5,7
4603,Evit200,Cu175,1,27.59999,75.19995,91.800003,8
4603,Evit200,Cu175,1,27.59999,81.69995,110.200005,9
4603,Evit200,Cu175,1,27.59999,90.19995,125.600002,10
4603,Evit200,Cu175,1,27.59999,98.39996,145.0,11
4603,Evit200,Cu175,1,27.59999,105.39996,166.0,12
4605,Evit100,Cu035,1,31.5,31.5,,1
4605,Evit100,Cu035,1,31.5,34.79999,6.5,2
4605,Evit100,Cu035,1,31.5,40.69998,20.0,3
4605,Evit100,Cu035,1,31.5,47.69998,33.100002,4
4605,Evit100,Cu035,1,31.5,55.89999,51.800003,5
4605,Evit100,Cu035,1,31.5,62.19998,65.800003,6
4605,Evit100,Cu035,1,31.5,70.69995,81.700005,7
4605,Evit100,Cu035,1,31.5,78.0,97.0,8
4605,Evit100,Cu035,1,31.5,86.19995,115.300003,9
4605,Evit100,Cu035,1,31.5,94.69995,133.100002,10
4605,Evit100,Cu035,1,31.5,102.0,151.0,11
4605,Evit100,Cu035,1,31.5,109.19995,176.400002,12
4641,Evit100,Cu175,2,27.09999,27.09999,,1
4641,Evit100,Cu175,2,27.09999,33.0,5.200001,2
4641,Evit100,Cu175,2,27.09999,42.5,22.5,3
4641,Evit100,Cu175,2,27.09999,50.09998,38.5,4
